"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Access Western Blend","AWB","2021-04-17","AWB-954","Edmonton","918.2","22.5","3.9","10.4","265","1.53","3","67.7","172","0.1","1.33","10.47","6.33","3.78","2.31","1.2","0.61","0.21","0.37","0.03","0.33","0.05","0.85","7.16","4.57","2.83","1.78","0.94","0.49","0.2","0.35","0.03","0.31","38.1","81.8","203.5","320.1","394.6","461.5","538.5","627.2","713.1","","","",""
"Access Western Blend","AWB","2021-03-13","AWB-642","Edmonton","915","23","3.72","10.4","","1.51","","63.3","158","0.08","1.44","10.3","6.36","4.06","2.66","1.33","0.66","0.22","0.4","0.04","0.38","0.04","0.92","7.07","4.61","3.05","2.05","1.05","0.53","0.21","0.38","0.04","0.36","","","","","","","","","","","","",""
"Access Western Blend","AWB","2021-02-06","AWB-896","Edmonton","917.6","22.6","3.67","10.3","","1.52","","63.7","165","0.08","1.38","9.61","5.89","3.72","2.51","1.23","0.6","0.21","0.4","0.05","0.37","0.04","0.88","6.58","4.26","2.79","1.93","0.97","0.48","0.2","0.38","0.05","0.35","","","","","","","","","","","","",""
"Access Western Blend","AWB","2021-01-03","AWB-747","Edmonton","917.3","22.6","3.68","10.6","118.8","1.6","3.9","63.2","162","0.08","1.32","9.46","5.99","3.71","2.43","1.28","0.66","0.21","0.39","0.05","0.35","0.04","0.84","6.48","4.33","2.78","1.87","1.01","0.53","0.2","0.37","0.05","0.33","36.9","56.1","178","316.9","394.4","463","541.2","630.4","","","","",""
"Access Western Blend","AWB","2020-12-19","AWB-601","Edmonton","917.7","22.6","3.7","10.5","","1.55","","62.7","162","0.08","1.44","10.42","6.49","3.87","2.44","1.26","0.64","0.22","0.39","0.04","0.34","0.04","0.92","7.13","4.69","2.9","1.88","0.99","0.51","0.21","0.37","0.04","0.32","","","","","","","","","","","","",""
"Access Western Blend","AWB","2020-11-19","AWB-944","Edmonton","923.3","21.6","3.86","10.4","","1.49","","66.5","166","0.08","1.36","9.46","6.14","3.84","2.48","1.32","0.68","0.21","0.38","0.04","0.34","0.04","0.86","6.44","4.41","2.86","1.9","1.03","0.54","0.2","0.36","0.04","0.32","","","","","","","","","","","","",""
"Access Western Blend","AWB","2020-10-02","AWB-713","Edmonton","926.6","21.1","3.99","10.8","97.5","1.76","4.2","66.5","169","0.08","1.17","10.11","6.13","3.52","2.1","0.99","0.52","0.2","0.35","0.04","0.31","0.04","0.74","6.86","4.39","2.61","1.6","0.77","0.41","0.19","0.33","0.04","0.29","36.7","69.5","218.2","333.9","408.1","473.8","549.9","634.5","719.3","","","",""
"Access Western Blend","AWB","2020-09-03","AWB-693","Edmonton","929.8","20.6","3.9","11","","1.69","","71.9","191","0.09","1.26","9.02","5.73","3.34","2.05","0.93","0.42","0.19","0.34","0.03","0.31","0.04","0.79","6.09","4.09","2.47","1.56","0.72","0.33","0.18","0.32","0.03","0.29","","","","","","","","","","","","",""
"Access Western Blend","AWB","2020-08-03","AWB-797","Edmonton","930","20.5","3.91","10.9","","1.76","","65.3","174","0.1","1.39","9.14","5.65","3.34","2.13","1.08","0.47","0.18","0.35","0.04","0.34","0.05","0.87","6.17","4.03","2.47","1.62","0.84","0.37","0.17","0.33","0.04","0.32","","","","","","","","","","","","",""
"Access Western Blend","AWB","2020-07-04","AWB-896","Edmonton","921.9","21.9","3.76","10.6","69.8","1.68","2.9","66.6","168","0.1","1.23","8.35","5.41","3.35","2.47","1.97","1.32","0.18","0.36","0.05","0.4","0.05","0.78","5.69","3.89","2.5","1.89","1.54","1.05","0.17","0.34","0.05","0.38","37.9","78.1","180.6","309.3","388.5","457.7","533.9","619.7","706.2","","","",""
