"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Bow River North","BRN","2021-04-17","BRN-480","Hardisty","925.9","21.2","2.85","9.9","244.6","0.87","9.4","45.9","103","0.15","2.47","5.97","3.95","2.75","2.39","1.71","0.87","0.09","0.18","0.06","0.25","0.08","1.55","4.05","2.83","2.04","1.82","1.33","0.69","0.09","0.17","0.06","0.23","43.1","110","261.3","342.4","406.6","463.2","523.1","585.5","654.4","","","",""
"Bow River North","BRN","2021-03-30","BRN-463","Hardisty","923.5","21.6","3.02","10.4","","1.09","","52.2","117","0.14","2.7","6.52","4.59","3.16","2.64","1.83","0.93","0.13","0.24","0.07","0.31","0.07","1.7","4.44","3.3","2.35","2.02","1.43","0.74","0.12","0.23","0.07","0.29","","","","","","","","","","","","",""
"Bow River North","BRN","2021-02-11","BRN-020","Hardisty","924.8","21.4","2.99","11","","0.85","","49.9","111","0.16","3.15","5.76","4.5","3.39","3.01","2.08","1","0.12","0.25","0.08","0.33","0.08","1.98","3.91","3.23","2.52","2.3","1.62","0.79","0.11","0.24","0.08","0.31","","","","","","","","","","","","",""
"Bow River North","BRN","2021-01-06","BRN-352","Hardisty","925.5","21.3","2.94","11.7","533.8","0.93","8.7","54.8","111","0.13","2.89","5.89","5.25","3.72","3.26","2.21","1.03","0.14","0.3","0.1","0.36","0.07","1.82","4","3.76","2.76","2.49","1.72","0.82","0.13","0.28","0.09","0.34","44.3","95.3","215.7","333.9","414.4","472.1","526.5","585.2","653.8","","","",""
"Bow River North","BRN","2020-12-09","BRN-226","Hardisty","925.9","21.2","2.95","11.5","","0.94","","58.3","112","0.13","2.79","6.33","5.44","3.97","3.51","2.14","0.91","0.16","0.35","0.11","0.4","0.07","1.76","4.29","3.9","2.95","2.68","1.67","0.72","0.15","0.33","0.1","0.37","","","","","","","","","","","","",""
"Bow River North","BRN","2020-11-13","BRN-164","Hardisty","926.1","21.2","2.96","11.7","","1","","55.4","112","0.15","2.7","6.03","5.19","3.65","3.25","2.11","1.07","0.12","0.28","0.1","0.37","0.08","1.7","4.09","3.72","2.71","2.48","1.64","0.85","0.11","0.26","0.09","0.35","","","","","","","","","","","","",""
"Bow River North","BRN","2020-10-06","BRN-118","Hardisty","930.3","20.5","3.11","11.3","463","0.97","6.3","55.1","116","0.11","1.99","5.91","4.92","3.41","2.84","1.9","1.04","0.14","0.29","0.07","0.35","0.06","1.25","3.99","3.51","2.52","2.16","1.47","0.82","0.13","0.27","0.07","0.33","50.4","105.8","255.7","362","437.7","499.5","562.3","632.8","718.2","","","",""
"Bow River North","BRN","2020-09-01","BRN-237","Hardisty","919.9","22.2","2.84","9.2","","0.83","","43.9","106","0.18","2.15","4.62","3.9","3.14","2.94","2.26","1.25","0.09","0.25","0.08","0.39","0.09","1.36","3.15","2.81","2.35","2.26","1.77","1","0.09","0.24","0.08","0.37","","","","","","","","","","","","",""
"Bow River North","BRN","2020-08-05","BRN-234","Hardisty","926.4","21.1","2.86","10.9","","0.88","","50.3","109","0.18","2.49","5.78","4.78","3.53","3.06","2.03","1","0.13","0.29","0.09","0.37","0.09","1.57","3.92","3.42","2.62","2.33","1.58","0.79","0.12","0.27","0.08","0.35","","","","","","","","","","","","",""
"Bow River North","BRN","2020-07-10","BRN-130","Hardisty","928.1","20.8","2.78","11.7","169","0.83","4.4","51.7","110","0.11","2.39","4.77","4.49","3.87","3.8","2.29","0.97","0.13","0.34","0.12","0.45","0.06","1.5","3.23","3.21","2.87","2.89","1.78","0.77","0.12","0.32","0.11","0.42","70.2","114.5","252","356.9","431.8","491.5","552.2","620.2","707.9","","","",""
