"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Christina Dilbit Blend","CDB","2021-05-01","CDB-019","Hardisty","921.2","22","3.75","9.9","","1.57","","64","159","0.08","1.45","9.5","5.75","3.55","2.43","1.25","0.62","0.18","0.34","0.04","0.34","0.04","0.92","6.48","4.14","2.65","1.86","0.98","0.49","0.17","0.32","0.04","0.32","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2021-04-13","CDB-398","Hardisty","917.6","22.6","3.42","10.4","78.8","1.47","4.4","62.8","159","0.04","1.45","7.86","4.83","2.88","1.92","1.04","0.56","0.15","0.26","0.03","0.29","0.02","0.92","5.38","3.49","2.16","1.48","0.82","0.45","0.14","0.25","0.03","0.27","40.2","90.3","249","339","406.1","469.8","543.5","625","713.1","","","",""
"Christina Dilbit Blend","CDB","2021-03-01","CDB-125","Hardisty","917.7","22.6","3.83","10.2","","1.47","","62.3","163","0.1","1.84","9.34","5.87","3.91","2.81","1.53","0.73","0.18","0.38","0.05","0.41","0.05","1.17","6.39","4.24","2.93","2.16","1.2","0.58","0.17","0.36","0.05","0.39","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2021-02-01","CDB-212","Hardisty","916.4","22.8","3.57","9.9","","1.4","","65.2","158","0.1","1.97","8.46","5.76","4.15","3.11","1.68","0.71","0.2","0.43","0.06","0.48","0.05","1.25","5.8","4.17","3.11","2.4","1.32","0.57","0.19","0.41","0.06","0.45","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2021-01-04","CDB-520","Hardisty","918","22.5","3.65","10.1","110.6","1.55","3.9","65.9","158","0.1","1.77","7.82","5.58","3.9","2.9","1.63","0.83","0.18","0.4","0.05","0.42","0.05","1.12","5.35","4.03","2.92","2.23","1.28","0.66","0.17","0.38","0.05","0.4","40.1","74.5","180","307.8","381.9","448.6","521.6","606.7","700.7","","","",""
"Christina Dilbit Blend","CDB","2020-12-02","CDB-493","Hardisty","921.7","21.9","3.74","10.2","","1.4","","63.3","153","0.14","1.61","8.24","5.82","3.92","2.79","1.46","0.67","0.19","0.41","0.05","0.41","0.07","1.02","5.61","4.19","2.92","2.14","1.14","0.53","0.18","0.39","0.05","0.39","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2020-11-01","CDB-575","Hardisty","924.4","21.4","3.66","10.4","","1.6","","66.6","156","0.07","1.62","5.57","4.12","2.8","2","1.31","0.76","0.14","0.29","0.04","0.31","0.04","1.02","3.79","2.96","2.08","1.53","1.02","0.6","0.13","0.27","0.04","0.29","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2020-10-04","CDB-091","Hardisty","928.7","20.7","3.87","10.7","168.9","1.7","4","64.5","164","0.09","1.16","7.94","5.39","3.58","2.5","1.29","0.68","0.17","0.36","0.04","0.39","0.04","0.73","5.37","3.85","2.65","1.9","1","0.54","0.16","0.34","0.04","0.36","38.7","82.4","237.7","336.9","408.9","473.8","549.2","633.7","718.8","","","",""
"Christina Dilbit Blend","CDB","2020-09-07","CDB-433","Hardisty","930.4","20.5","3.8","10.6","","1.57","","72.6","198","0.1","1.36","8.06","5.13","3.14","2.04","1.04","0.51","0.15","0.3","0.03","0.31","0.05","0.85","5.44","3.66","2.32","1.55","0.81","0.4","0.14","0.28","0.03","0.29","","","","","","","","","","","","",""
"Christina Dilbit Blend","CDB","2020-08-02","CDB-178","Hardisty","927.4","21","3.74","10.3","","1.64","","64","165","0.08","1.43","7.81","5.31","3.51","2.42","1.39","0.77","0.17","0.37","0.04","0.4","0.04","0.9","5.29","3.8","2.6","1.84","1.08","0.61","0.16","0.35","0.04","0.37","","","","","","","","","","","","",""
