"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Kearl Lake","KDB","2021-05-01","KDB-759","Edmonton","920.6","22.1","3.81","10.1","82.1","1.95","2.5","63.7","158","0.1","2.09","9.72","5.88","3.63","2.5","1.34","0.67","0.18","0.33","0.04","0.34","0.05","1.32","6.63","4.24","2.71","1.92","1.05","0.53","0.17","0.31","0.04","0.32","38.7","73.3","233.1","336.2","406.9","471.6","547.1","632.2","717.1","","","",""
"Kearl Lake","KDB","2021-04-02","KDB-862","Edmonton","921","22","3.7","9","","1.82","","50.4","127","0.05","1.14","10.13","5.84","3.46","2.23","1.39","0.82","0.17","0.32","0.04","0.33","0.03","0.72","6.91","4.21","2.58","1.71","1.09","0.65","0.16","0.3","0.04","0.31","","","","","","","","","","","","",""
"Kearl Lake","KDB","2021-03-03","KDB-920","Edmonton","921.9","21.9","3.79","8.8","","1.83","","46.5","129","0.07","1.28","8.61","5.45","3.8","2.79","1.57","0.79","0.17","0.37","0.05","0.41","0.04","0.81","5.86","3.92","2.83","2.14","1.23","0.63","0.16","0.35","0.05","0.39","","","","","","","","","","","","",""
"Kearl Lake","KDB","2021-02-08","KDB-801","Edmonton","922.3","21.8","3.63","8.8","29.3","1.74","4.4","50.7","132","0.07","1.13","7.4","4.96","3.56","2.68","1.42","0.69","0.17","0.37","0.04","0.39","0.04","0.72","5.04","3.57","2.65","2.05","1.11","0.55","0.16","0.35","0.04","0.37","51.1","100.4","247.9","340.4","407.6","468.1","537.5","617.5","703","","","",""
"Kearl Lake","KDB","2021-01-02","KDB-805","Edmonton","921.7","21.9","3.61","9","","1.86","","47.3","123","0.07","1.27","8.51","5.7","3.9","2.83","1.46","0.72","0.18","0.39","0.05","0.41","0.04","0.8","5.8","4.1","2.91","2.17","1.14","0.57","0.17","0.37","0.05","0.39","","","","","","","","","","","","",""
"Kearl Lake","KDB","2020-12-04","KDB-781","Edmonton","924","21.5","3.74","9.3","","1.8","","51.1","131","0.07","1.2","7.64","5.29","3.78","2.83","1.4","0.74","0.16","0.37","0.04","0.42","0.04","0.76","5.19","3.8","2.81","2.16","1.09","0.59","0.15","0.35","0.04","0.39","","","","","","","","","","","","",""
"Kearl Lake","KDB","2020-11-07","KDB-773","Edmonton","926.7","21.1","3.81","9.3","134.7","1.87","5.7","50.8","135","0.05","1.13","8.45","5.46","3.52","2.45","1.25","0.58","0.18","0.36","0.04","0.38","0.03","0.71","5.72","3.91","2.61","1.87","0.97","0.46","0.17","0.34","0.04","0.36","38.7","91.1","253.7","351.3","418.6","480.6","550.4","630","715.6","","","",""
"Kearl Lake","KDB","2020-10-03","KDB-611","Edmonton","930.6","20.4","3.94","9.1","","1.89","","52.5","133","0.07","1.11","7.96","5.29","3.36","2.25","1.23","0.63","0.17","0.33","0.03","0.32","0.04","0.7","5.37","3.77","2.48","1.71","0.95","0.5","0.16","0.31","0.03","0.3","","","","","","","","","","","","",""
"Kearl Lake","KDB","2020-09-11","KDB-690","Edmonton","933.2","20","3.8","9.2","","1.92","","49.8","137","0.06","1.02","7.87","4.91","2.99","1.98","1.13","0.66","0.15","0.28","0.03","0.3","0.03","0.64","5.3","3.49","2.2","1.5","0.87","0.52","0.14","0.26","0.03","0.28","","","","","","","","","","","","",""
"Kearl Lake","KDB","2020-08-04","KDB-648","Edmonton","933.2","20","3.75","9.3","49.9","1.97","3.8","48.2","140","0.07","1.17","7.17","4.98","3.38","2.48","1.41","0.64","0.16","0.36","0.04","0.42","0.04","0.73","4.83","3.54","2.49","1.88","1.09","0.5","0.15","0.34","0.04","0.39","40.7","85.4","255.7","354","423.4","487.6","561.6","643.8","719.6","","","",""
"Kearl Lake","KDB","2020-07-04","KDB-756","Edmonton","930.6","20.4","3.75","9.3","","1.82","","55","139","0.06","0.97","7.24","4.78","3.21","2.34","1.19","0.61","0.15","0.33","0.04","0.36","0.03","0.61","4.89","3.41","2.37","1.78","0.92","0.48","0.14","0.31","0.04","0.34","","","","","","","","","","","","",""
"Kearl Lake","KDB","2020-06-21","KDB-843","Edmonton","927.3","21","3.81","9.3","","2.04","","57.3","143","0.07","1.24","8.05","5.28","3.59","2.7","1.32","0.64","0.17","0.37","0.05","0.42","0.04","0.78","5.45","3.78","2.66","2.06","1.03","0.51","0.16","0.35","0.05","0.39","","","","","","","","","","","","",""
"Kearl Lake","KDB","2020-03-07","KDB-672","Edmonton","919.6","22.2","3.67","9.2","","1.88","","53.9","136","0.07","1.24","9.4","5.64","3.38","2.33","1.33","0.56","0.14","0.21","0.03","0.18","0.04","0.79","6.42","4.07","2.53","1.79","1.04","0.45","0.13","0.2","0.03","0.17","","","","","","","","","","","","",""
"Kearl Lake","KDB","2020-02-05","KDB-684","Edmonton","918.6","22.4","3.89","8.9","98.1","1.86","3.4","50.2","135","0.07","1.23","9.65","5.98","3.5","2.33","1.64","0.8","0.16","0.24","0.02","0.2","0.04","0.78","6.6","4.32","2.62","1.79","1.29","0.64","0.15","0.23","0.02","0.19","44.2","93.9","236.5","346.7","416.6","479.4","550.9","631.4","713.7","","","",""
"Kearl Lake","KDB","2020-01-17","KDB-706","Edmonton","919.8","22.2","3.82","9.2","","1.83","","49.9","136","0.07","1.18","8.84","5.6","3.4","2.36","1.58","0.71","0.14","0.22","0.01","0.22","0.04","0.75","6.03","4.04","2.54","1.81","1.24","0.57","0.13","0.21","0.01","0.21","","","","","","","","","","","","",""
"Kearl Lake","KDB","2019-11-13","KDB-659","Edmonton","926","21.2","3.86","9.3","59.7","1.92","3.4","58","143","0.04","1.03","7.88","4.89","2.94","1.84","0.92","0.45","0.15","0.23","0.02","0.21","0.02","0.65","5.34","3.5","2.18","1.4","0.72","0.36","0.14","0.22","0.02","0.2","44.5","96.9","284.4","368.8","429.4","495.7","562.8","635.8","713.5","","","",""
"Kearl Lake","KDB","2019-10-09","KDB-649","Edmonton","928.6","20.8","3.92","9.4","","1.97","","56","145","0.05","1.13","8.34","5.49","3.35","2.2","1.18","0.58","0.17","0.3","0.03","0.31","0.03","0.71","5.64","3.92","2.48","1.67","0.92","0.46","0.16","0.28","0.03","0.29","","","","","","","","","","","","",""
"Kearl Lake","KDB","2019-09-21","KDB-656","Edmonton","930.7","20.4","3.9","9.1","","1.96","","53.3","143","0.04","1.04","8.1","5.3","3.2","2.17","1.57","0.99","0.14","0.24","0.03","0.24","0.02","0.65","5.46","3.78","2.36","1.65","1.22","0.78","0.13","0.22","0.03","0.22","","","","","","","","","","","","",""
"Kearl Lake","KDB","2019-08-14","KDB-946","Edmonton","933.5","20","4.07","9.5","ND","1.78","3.3","55.8","145","0.06","1.1","8.7","5.25","3.11","2.04","1.06","0.46","0.15","0.26","0.03","0.24","0.03","0.69","5.86","3.73","2.29","1.54","0.82","0.36","0.14","0.24","0.03","0.22","38.2","83.2","268.7","362.5","426.2","493.4","564.8","643","715.7","","","",""
"Kearl Lake","KDB","2019-07-07","KDB-639","Edmonton","929.1","20.7","3.92","9.2","","2.07","","57.5","146","0.04","0.89","6.75","4.3","2.62","1.79","0.93","0.51","0.14","0.25","0.02","0.25","0.02","0.56","4.56","3.07","1.94","1.36","0.72","0.4","0.13","0.23","0.02","0.23","","","","","","","","","","","","",""
"Kearl Lake","KDB","2019-06-07","KDB-744","Edmonton","926.6","21.1","3.98","9.8","","1.96","","53.4","141","0.04","0.72","4.97","3.06","1.94","1.36","0.76","0.34","0.08","0.17","0.02","0.18","0.02","0.45","3.37","2.19","1.44","1.04","0.59","0.27","0.08","0.16","0.02","0.17","","","","","","","","","","","","",""
"Kearl Lake","KDB","2019-05-12","KDB-700","Edmonton","922.2","21.8","3.92","9.1","38.4","1.89","5.3","59.5","147","0.05","1.2","8.96","5.69","3.74","2.48","1.27","0.74","0.19","0.35","0.04","0.34","0.03","0.76","6.1","4.09","2.79","1.9","0.99","0.59","0.18","0.33","0.04","0.32","42.8","79.2","238.9","338.9","406.3","469.3","539.3","616.8","695.7","","","",""
"Kearl Lake","KDB","2019-04-03","KDB-683","Edmonton","919.8","22.2","3.96","9.5","","1.97","","40.3","128","0.05","1.2","9.72","5.88","3.64","2.46","1.11","0.61","0.19","0.36","0.04","0.35","0.03","0.76","6.63","4.24","2.72","1.89","0.87","0.49","0.18","0.34","0.04","0.33","","","","","","","","","","","","",""
"Kearl Lake","KDB","2019-03-01","KDB-903","Edmonton","920.5","22.1","3.84","9.4","","1.96","","56.3","145","0.05","1.07","8.03","5.23","3.23","2.22","0.97","0.41","0.17","0.32","0.03","0.3","0.03","0.68","5.48","3.77","2.41","1.7","0.76","0.33","0.16","0.3","0.03","0.28","","","","","","","","","","","","",""
"Kearl Lake","KDB","2019-02-03","KDB-890","Edmonton","920.9","22","3.83","9.2","38.7","1.85","6.3","49.9","136","0.05","0.99","7.53","5.07","3.42","2.52","1.33","0.65","0.17","0.34","0.05","0.35","0.03","0.63","5.13","3.65","2.55","1.93","1.04","0.52","0.16","0.32","0.05","0.33","38.3","76.7","205.5","333.4","407.2","469.7","539.5","618.8","700.5","","","",""
"Kearl Lake","KDB","2019-01-04","KDB-669","Edmonton","920.1","22.2","3.82","9.2","","1.93","","50.2","140","0.11","1.43","8.76","5.81","3.95","2.84","1.59","0.78","0.2","0.41","0.05","0.43","0.06","0.91","5.98","4.19","2.95","2.18","1.25","0.62","0.19","0.39","0.05","0.41","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-12-02","KDB-785","Edmonton","925.2","21.3","3.78","9.2","","1.82","","49.4","135","0.11","1.28","7.29","5.22","3.66","2.74","1.46","0.73","0.19","0.39","0.05","0.43","0.06","0.81","4.95","3.74","2.72","2.09","1.14","0.58","0.18","0.37","0.05","0.4","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-11-03","KDB-920","Edmonton","927.4","21","3.82","9","68.1","1.99","6.4","51.9","138","0.11","1.24","6.94","5.13","3.8","2.93","1.66","0.7","0.18","0.39","0.05","0.45","0.06","0.78","4.7","3.67","2.82","2.23","1.29","0.55","0.17","0.37","0.05","0.42","49.6","99.9","256.8","355.1","423.8","486.4","558.2","637.1","716.7","","","",""
"Kearl Lake","KDB","2018-10-01","KDB-628","Edmonton","933.2","20","3.91","9.2","","2.18","","51.8","138","0.09","1.02","6.59","4.61","3.23","2.35","1.25","0.66","0.16","0.34","0.04","0.37","0.05","0.64","4.44","3.28","2.38","1.78","0.97","0.52","0.15","0.32","0.04","0.34","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-09-07","KDB-637","Edmonton","933.5","20","3.93","9.2","","2","","51.8","140","0.07","0.87","5.67","4.01","2.89","2.11","1.18","0.64","0.16","0.33","0.04","0.34","0.04","0.54","3.82","2.85","2.13","1.6","0.91","0.5","0.15","0.31","0.04","0.32","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-08-02","KDB-984","Edmonton","932.5","20.1","3.95","9.1","47.7","2.08","5.5","55.5","144","0.09","1.1","7.36","5.06","3.39","2.47","1.27","0.65","0.17","0.35","0.04","0.38","0.05","0.69","4.96","3.6","2.5","1.87","0.98","0.51","0.16","0.33","0.04","0.35","38.9","81.3","262.1","351.6","416.1","476.4","545.2","622.6","699","","","",""
"Kearl Lake","KDB","2018-07-01","KDB-872","Edmonton","931.3","20.3","3.93","9.3","","2.15","","51.6","137","0.07","1.04","7.49","4.63","2.82","1.95","1.1","0.47","0.11","0.14","0.01","0.14","0.04","0.65","5.05","3.3","2.08","1.48","0.85","0.37","0.1","0.13","0.01","0.13","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-06-06","KDB-886","Edmonton","923.1","21.7","3.74","","","2.03","","","","0.1","0.79","8.29","5.2","3.24","2.13","1.22","0.6","0.16","0.22","0.02","0.19","0.05","0.5","5.64","3.74","2.41","1.63","0.95","0.48","0.15","0.21","0.02","0.18","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-05-02","KDB-812","Edmonton","921.6","21.9","3.78","9.1","38.8","2.06","5.3","48.4","131","0.07","1.1","10.19","6.08","3.35","2.07","1.05","0.49","0.18","0.25","0.03","0.22","0.04","0.7","6.95","4.38","2.5","1.59","0.82","0.39","0.17","0.24","0.03","0.21","40.5","86.3","268.5","361.6","423.9","488.5","558.1","632.4","706.1","","","",""
"Kearl Lake","KDB","2018-04-02","KDB-701","Edmonton","920.6","22.1","3.89","8.7","","1.82","","49.6","126","0.07","1.2","10.2","5.84","3.27","2.14","1.2","0.63","0.2","0.33","0.04","0.32","0.04","0.76","6.96","4.21","2.44","1.64","0.94","0.5","0.19","0.31","0.04","0.3","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-03-01","KDB-693","Edmonton","920.8","22","3.85","8.6","","2.18","","47.1","126","0.07","1.12","10.13","6.01","3.44","2.18","1.15","0.58","0.21","0.35","0.04","0.33","0.04","0.71","6.91","4.33","2.57","1.67","0.9","0.46","0.2","0.33","0.04","0.31","","","","","","","","","","","","",""
"Kearl Lake","KDB","2018-02-01","KDB-637","Edmonton","919.8","22.2","3.69","8.7","ND","2.18","4.3","47.2","128","0.05","1.19","10.26","6.14","3.21","1.97","1.06","0.56","0.21","0.33","0.04","0.3","0.03","0.76","7","4.43","2.4","1.51","0.83","0.45","0.2","0.31","0.04","0.28","37.3","60.3","238.6","349.9","418.6","482.4","555.8","634.8","712.8","","","",""
"Kearl Lake","KDB","2018-01-16","KDB-726","Edmonton","920.5","22.1","3.73","8.6","","2","","50.2","134","0.09","1.21","9.21","5.65","3.44","2.19","1.1","0.55","0.19","0.36","0.04","0.36","0.05","0.77","6.29","4.07","2.57","1.68","0.86","0.44","0.18","0.34","0.04","0.34","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-12-03","KDB-669","Edmonton","923.2","21.6","3.95","9","","2.07","","47.8","135","0.07","1.21","11.07","6.12","3.24","1.73","0.84","0.4","0.16","0.2","0.01","0.12","0.04","0.77","7.53","4.4","2.41","1.32","0.66","0.32","0.15","0.19","0.01","0.11","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-11-01","KDB-910","Edmonton","928","20.9","3.88","9.1","19.4","2.01","3.7","49.1","133","0.04","1","9.86","5.32","2.75","1.43","0.76","0.4","0.15","0.19","0.02","0.13","0.02","0.63","6.67","3.8","2.04","1.09","0.59","0.32","0.14","0.18","0.02","0.12","37.1","67.2","261.4","361.3","428.4","494.8","568.4","646.5","717.9","","","",""
"Kearl Lake","KDB","2017-10-06","KDB-002","Edmonton","921.7","21.9","3.71","8.4","","1.94","","44.5","123","0.04","0.88","8.61","5.11","2.56","1.46","2.2","1.73","0.15","0.18","0.03","0.17","0.02","0.56","5.86","3.68","1.91","1.12","1.72","1.38","0.14","0.17","0.03","0.16","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-09-06","KDB-701","Edmonton","933.6","19.9","4.17","9.3","","1.95","","51.3","137","0.02","1.01","10.87","5.56","2.51","1.06","0.4","0.19","0.17","0.17","0.01","0.09","0.01","0.63","7.31","3.95","1.85","0.8","0.31","0.15","0.16","0.16","0.01","0.08","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-08-02","KDB-139","Edmonton","930.1","20.5","4.02","9.4","10","1.92","3.8","53.9","136","0.02","0.85","9.93","5.41","2.25","0.9","0.61","0.41","0.16","0.18","0.02","0.1","0.01","0.53","6.71","3.86","1.66","0.68","0.47","0.32","0.15","0.17","0.02","0.09","36.6","55.6","275.8","366.8","430.3","493","561.8","634.9","703.2","","","",""
"Kearl Lake","KDB","2017-07-02","KDB-066","Edmonton","927.3","21","3.87","9.1","","1.98","","50","122","0.02","0.87","10.02","5.38","2.43","1.01","0.75","0.44","0.18","0.2","0.02","0.12","0.01","0.55","6.79","3.85","1.8","0.77","0.58","0.35","0.17","0.19","0.02","0.11","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-06-04","KDB-746","Edmonton","925.1","21.3","4","9.2","","1.96","","49.9","132","0.02","1.06","11.65","6.26","2.72","1.18","0.46","0.24","0.2","0.22","0.02","0.14","0.01","0.67","7.91","4.49","2.02","0.9","0.36","0.19","0.19","0.21","0.02","0.13","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-04-01","KDB-881","Edmonton","921.3","22","3.85","8.9","","2","","49.4","125","0.02","0.76","10.77","5.79","2.64","1.12","0.46","0.21","0.2","0.24","0.02","0.15","0.01","0.48","7.34","4.17","1.97","0.86","0.36","0.17","0.19","0.23","0.02","0.14","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-03-02","KDB-782","Edmonton","920.2","22.1","3.85","8.7","","1.96","","48.2","127","0.02","1.02","14.14","7.25","3.12","1.22","0.42","0.19","0.24","0.27","0.02","0.16","0.01","0.65","9.65","5.23","2.33","0.94","0.33","0.15","0.23","0.26","0.02","0.15","","","","","","","","","","","","",""
"Kearl Lake","KDB","2017-02-17","KDB-665","Edmonton","920.2","22.1","3.87","8.8","35.1","1.95","3.6","49.1","130","0.02","0.88","11.13","6.06","2.65","1.24","0.46","0.18","0.2","0.22","0.03","0.12","0.01","0.56","7.6","4.37","1.98","0.95","0.36","0.14","0.19","0.21","0.03","0.11","38.2","60.7","278.7","367.8","431.8","495.6","566.7","644.1","718.6","","","",""
"Kearl Lake","KDB","2017-01-01","KDB-967","Edmonton","921.2","22","3.91","9.3","","2.02","","46.5","124","0.02","1.18","12.98","6.72","2.71","1.13","0.6","0.34","0.21","0.23","0.02","0.14","0.01","0.75","8.85","4.84","2.02","0.87","0.47","0.27","0.2","0.22","0.02","0.13","","","","","","","","","","","","",""
"Kearl Lake","KDB","2016-12-05","KDB-942","Edmonton","922.6","21.7","3.88","8.9","","1.95","","43.6","124","0.02","1","11.82","6.52","2.87","1.2","0.59","0.29","0.21","0.24","0.02","0.15","0.01","0.63","8.05","4.69","2.14","0.92","0.46","0.23","0.2","0.23","0.02","0.14","","","","","","","","","","","","",""
"Kearl Lake","KDB","2016-11-03","KDB-693","Edmonton","925.2","21.3","3.89","8.7","48.6","2.03","3.5","49","130","0.02","0.92","11.34","6.07","2.58","1.02","0.53","0.28","0.18","0.14","0.01","0.05","0.01","0.58","7.7","4.35","1.92","0.78","0.41","0.22","0.17","0.13","0.01","0.05","39.5","70.6","290.4","367","426.4","485.4","551.4","622.3","693.2","","","",""
"Kearl Lake","KDB","2016-10-08","KDB-728","Edmonton","925.2","21.3","3.91","8.4","","1.91","","46","119","0.02","0.84","10.22","5.51","2.66","1.23","1.44","1.02","0.19","0.22","0.03","0.16","0.01","0.53","6.94","3.95","1.98","0.94","1.12","0.81","0.18","0.21","0.03","0.15","","","","","","","","","","","","",""
