"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Lloyd Kerrobert","LLK","2021-05-03","LLK-110","Kerrobert","921.9","21.9","2.83","9.7","106.6","0.96","8.9","44.8","103","0.14","2.35","5.72","3.99","2.86","2.35","1.62","0.78","0.13","0.26","0.06","0.28","0.07","1.48","3.9","2.87","2.13","1.8","1.27","0.62","0.12","0.25","0.06","0.26","41.2","101.6","251.5","334.2","404.9","467.7","537.7","615.9","714","","","",""
"Lloyd Kerrobert","LLK","2021-04-06","LLK-272","Kerrobert","922.1","21.8","2.9","10.2","","1.02","","48.5","108","0.09","2.55","6.57","4.77","3.37","2.74","1.71","0.84","0.15","0.32","0.06","0.35","0.05","1.61","4.47","3.43","2.51","2.1","1.34","0.67","0.14","0.3","0.06","0.33","","","","","","","","","","","","",""
"Lloyd Kerrobert","LLK","2021-03-04","LLK-271","Kerrobert","920.2","22.1","3.01","10.4","","1","","42","109","0.14","2.99","6.94","5.16","3.72","3","1.84","0.85","0.17","0.36","0.07","0.38","0.07","1.89","4.74","3.72","2.78","2.3","1.44","0.68","0.16","0.34","0.07","0.36","","","","","","","","","","","","",""
"Lloyd Kerrobert","LLK","2021-02-10","LLK-314","Kerrobert","920.9","22","2.82","9.6","252.2","0.93","10.7","40.3","94.1","0.14","3.17","5.1","4.01","2.99","2.53","1.7","0.82","0.13","0.3","0.07","0.33","0.07","2","3.48","2.89","2.23","1.94","1.33","0.65","0.12","0.28","0.07","0.31","43.8","106.9","243.8","327.3","396.2","459.8","528.9","607.9","706.4","","","",""
"Lloyd Kerrobert","LLK","2021-01-04","LLK-032","Kerrobert","925.5","21.3","2.92","10.3","","1.08","","46.1","102","0.14","2.35","5.66","4.65","3.38","2.82","1.86","0.86","0.15","0.34","0.07","0.36","0.07","1.48","3.84","3.33","2.51","2.15","1.45","0.68","0.14","0.32","0.07","0.34","","","","","","","","","","","","",""
"Lloyd Kerrobert","LLK","2020-12-03","LLK-325","Kerrobert","926.8","21","3.06","9.5","","0.97","","43.6","97.8","0.14","3.08","3.9","3.41","2.7","2.4","1.75","0.91","0.1","0.28","0.06","0.33","0.07","1.93","2.64","2.44","2","1.83","1.36","0.72","0.1","0.26","0.06","0.31","","","","","","","","","","","","",""
"Lloyd Kerrobert","LLK","2020-11-03","LLK-255","Kerrobert","933.1","20","2.85","10.6","331.3","0.85","12.4","46.8","94.2","0.11","2.38","4.55","3.92","2.84","2.46","1.72","0.83","0.11","0.25","0.07","0.3","0.06","1.48","3.06","2.79","2.09","1.86","1.33","0.65","0.1","0.23","0.07","0.28","59.6","138.4","272.3","354.8","422.9","482","542.9","613.6","702.9","","","",""
"Lloyd Kerrobert","LLK","2020-10-02","LLK-301","Kerrobert","935.2","19.7","3.06","10.4","","1.01","","44.4","98.8","0.11","2.86","4.66","3.59","2.57","2.16","1.48","0.71","0.11","0.25","0.06","0.28","0.06","1.78","3.13","2.55","1.89","1.63","1.14","0.56","0.1","0.23","0.06","0.26","","","","","","","","","","","","",""
"Lloyd Kerrobert","LLK","2020-09-01","LLK-207","Kerrobert","934.1","19.9","3.29","9.9","","1.16","","49.4","117","0.11","2.97","4.43","3.24","2.3","1.88","1.35","0.61","0.11","0.23","0.05","0.28","0.06","1.85","2.98","2.3","1.69","1.42","1.04","0.48","0.1","0.21","0.05","0.26","","","","","","","","","","","","",""
"Lloyd Kerrobert","LLK","2020-08-02","LLK-508","Kerrobert","933.8","19.9","3.11","9.5","164.5","1","9.7","47","96.1","0.09","1","4.22","3.77","3.06","2.68","1.88","0.81","0.13","0.34","0.06","0.43","0.05","0.62","2.84","2.68","2.25","2.03","1.45","0.64","0.12","0.32","0.06","0.4","76.3","135.5","266.9","340.4","406.9","468.8","540","624.1","718.1","","","",""
