"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Peace","MPR","2021-04-03","MPR-192","Edmonton","808.5","43.4","0.36","1","1.6","3.9","0.56","4.52","3.98","6.65","7.48","7.85","6.46","3.55","0.29","0.85","0.25","1.25","0.34","3.26","3.1","5.46","6.36","6.86","5.77","3.22","0.32","0.92","0.27","1.34","","","","","","","","","","","","",""
"Peace","MPR","2021-03-02","MPR-170","Edmonton","812.7","42.5","0.41","1.2","1.8","5","0.44","3.83","3.82","6.5","7.22","7.52","6.3","3.58","0.29","0.82","0.26","1.15","0.27","2.75","2.96","5.31","6.11","6.54","5.59","3.23","0.32","0.88","0.28","1.23","","","","","","","","","","","","",""
"Peace","MPR","2021-02-03","MPR-149","Edmonton","812.9","42.4","0.44","1.3","1.9","5.3","0.63","4.23","3.87","6.45","7.31","7.7","6.36","3.37","0.29","0.81","0.25","1.14","0.38","3.03","2.99","5.26","6.18","6.69","5.64","3.04","0.32","0.87","0.27","1.22","56.6","101","144.5","188","240.6","298.8","356.2","422.4","512.4","681.9","","",""
"Peace","MPR","2021-01-15","MPR-138","Edmonton","811.6","42.7","0.4","1.1","1.6","4.8","0.48","3.98","3.54","6.32","7.49","7.93","6.68","3.72","0.28","0.88","0.26","1.24","0.29","2.86","2.74","5.17","6.35","6.9","5.94","3.36","0.31","0.94","0.28","1.33","","","","","","","","","","","","",""
"Peace","MPR","2020-12-07","MPR-116","Edmonton","810.9","42.9","0.42","1.1","1.5","4.5","0.5","3.66","3.34","5.84","6.71","6.92","5.16","3.22","0.27","0.85","0.24","1.15","0.3","2.63","2.59","4.78","5.69","6.03","4.59","2.91","0.29","0.91","0.26","1.23","","","","","","","","","","","","",""
"Peace","MPR","2020-11-02","MPR-085","Edmonton","805.5","44","0.35","1","1.5","3.9","0.48","3.9","4.18","6.74","7.58","7.77","6.03","3.27","0.27","0.88","0.23","1.27","0.29","2.82","3.26","5.55","6.47","6.82","5.4","2.98","0.3","0.95","0.25","1.37","42.2","83.6","115.5","160.1","202.7","257.6","313.7","378.5","453.2","560.2","662.8","",""
"Peace","MPR","2020-10-05","MPR-058","Edmonton","803.6","44.4","0.35","1","1.8","5","0.46","4.39","4.4","7.1","8.31","8.26","6.45","3.23","0.27","0.89","0.23","1.27","0.29","3.19","3.44","5.86","7.11","7.26","5.79","2.95","0.3","0.97","0.25","1.37","","","","","","","","","","","","",""
"Peace","MPR","2020-09-04","MPR-404","Edmonton","808.2","43.4","0.39","0.9","1.4","4.4","0.48","4.01","3.75","6.54","7.78","8.19","6.67","3.89","0.28","0.98","0.26","1.44","0.29","2.89","2.92","5.37","6.62","7.16","5.95","3.53","0.31","1.06","0.28","1.55","","","","","","","","","","","","",""
"Peace","MPR","2020-08-03","MPR-372","Edmonton","808.4","43.4","0.42","1","2.2","5.7","0.39","4.02","4","6.9","7.91","8.24","6.74","3.66","0.27","0.89","0.26","1.31","0.24","2.9","3.11","5.66","6.73","7.2","6.02","3.32","0.3","0.96","0.28","1.41","35.5","77.8","115.9","161.5","203.6","263.5","324.5","394.4","476.5","611.6","","",""
"Peace","MPR","2020-07-01","MPR-328","Edmonton","790.7","47.3","0.31","0.9","1.4","3.6","0.49","4.89","3.84","6.42","7.19","7.61","7.38","4.52","0.27","0.86","0.25","1.29","0.31","3.6","3.05","5.39","6.25","6.8","6.74","4.19","0.3","0.95","0.28","1.42","","","","","","","","","","","","",""
