"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Mixed Sweet Blend","MSW","2021-04-06","MSW-698","Edmonton","820","40.9","0.31","1.5","2.9","5.2","","0.55","4.55","3.51","6.2","7.72","7.57","5.58","2.64","0.25","0.76","0.24","1.05","0.33","3.23","2.69","5.01","6.47","6.52","4.91","2.36","0.27","0.81","0.25","1.11","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2021-03-03","MSW-777","Edmonton","818.5","41.2","0.41","1.9","4.3","8.8","","0.41","4.14","4.13","6.59","7.98","7.6","5.54","2.6","0.27","0.85","0.23","1.04","0.25","2.95","3.17","5.34","6.7","6.56","4.88","2.33","0.29","0.9","0.24","1.1","42.6","87.7","125.5","175.4","233.7","291.6","349.4","414.8","490.9","615.5","","",""
"Mixed Sweet Blend","MSW","2021-02-05","MSW-644","Edmonton","828.7","39.1","0.37","1.8","3.7","6.9","","0.54","4.52","3.57","6.21","7.52","7.29","5.4","2.64","0.23","0.76","0.22","0.98","0.32","3.18","2.71","4.97","6.24","6.22","4.7","2.34","0.25","0.8","0.23","1.03","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2021-01-15","MSW-846","Edmonton","815.6","41.8","0.38","1.6","3.3","7.8","","0.55","4.38","4.9","7.33","8.29","7.9","5.46","2.76","0.28","0.84","0.23","1.09","0.33","3.13","3.78","5.96","6.99","6.84","4.83","2.48","0.3","0.9","0.25","1.16","44.9","94.7","128.5","176.3","234.2","292","349.3","412.4","490.5","607.6","","",""
"Mixed Sweet Blend","MSW","2020-12-14","MSW-729","Edmonton","817.1","41.5","0.35","1.4","2.8","5.2","","0.53","4.35","3.87","6.49","7.87","8.02","6.2","2.87","0.28","0.83","0.27","1.1","0.32","3.1","2.98","5.27","6.62","6.93","5.47","2.58","0.3","0.88","0.29","1.17","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2020-11-19","MSW-756","Edmonton","817.1","41.5","0.34","1.4","2.3","4.3","","0.62","4.54","3.59","6.49","8.04","7.97","5.87","2.66","0.29","0.89","0.25","1.14","0.37","3.24","2.76","5.27","6.76","6.89","5.18","2.39","0.31","0.95","0.27","1.21","43.5","93.9","134.9","189","246.8","301.7","360.7","424.4","499","607.6","707","",""
"Mixed Sweet Blend","MSW","2020-10-15","MSW-909","Edmonton","820.8","40.8","0.28","1.4","1.9","3.9","","0.6","4.74","3.1","6.1","7.68","7.39","5.31","2.54","0.26","0.84","0.24","1.06","0.36","3.36","2.37","4.93","6.43","6.36","4.66","2.27","0.28","0.89","0.25","1.12","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2020-09-11","MSW-830","Edmonton","818.1","41.3","0.31","1.4","2.4","4.8","","0.53","4.72","3.3","6.33","8","7.9","5.78","2.73","0.27","0.88","0.24","1.2","0.32","3.36","2.53","5.13","6.72","6.82","5.1","2.45","0.29","0.94","0.26","1.27","62.3","101.9","140.2","197.4","255.7","312.8","372.9","436.7","513.5","638","","",""
"Mixed Sweet Blend","MSW","2020-08-03","MSW-699","Edmonton","808.6","43.3","0.34","1.4","2.6","4.9","ND","0.53","4.71","4.59","7.39","8.86","8.62","6.13","2.79","0.31","1.02","0.24","1.39","0.32","3.4","3.57","6.07","7.53","7.53","5.47","2.53","0.34","1.1","0.26","1.49","","","","","","","","","","","","",""
"Mixed Sweet Blend","MSW","2020-07-07","MSW-871","Edmonton","809","43.3","0.3","1.2","2.3","4.3","","0.53","4.64","4.34","7.21","8.67","8.27","5.79","2.79","0.31","0.98","0.23","1.26","0.32","3.34","3.37","5.91","7.36","7.22","5.16","2.53","0.34","1.05","0.25","1.35","46.1","83.6","116.7","162.3","217.6","273.8","332.2","399.1","472.4","586.9","712.6","",""
