"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Long Lake Heavy","PSH","2017-04-10","PSH-126","Hardisty","932.4","20.1","2.94","6.9","","2.01","","44.1","116","0.02","0.53","1.36","1.57","1.44","1.77","1.51","0.85","0.03","0.1","0.05","0.2","0.01","0.33","0.92","1.12","1.06","1.34","1.17","0.67","0.03","0.09","0.05","0.19","","","","","","","","","","","","",""
"Long Lake Heavy","PSH","2017-03-02","PSH-804","Hardisty","922.8","21.7","3","8.5","","0.75","","28","82.1","0.07","0.77","5.46","3.59","2.55","2.08","1.82","0.93","0.11","0.18","0.06","0.23","0.03","0.49","3.71","2.58","1.9","1.59","1.42","0.74","0.11","0.17","0.06","0.22","","","","","","","","","","","","",""
"Long Lake Heavy","PSH","2017-02-06","PSH-058","Hardisty","931","20.4","2.82","6.3","74.8","1.9","2.5","42.2","112","0.04","1.1","1.35","2.02","1.95","2.32","2.08","0.95","0.08","0.18","0.07","0.28","0.02","0.69","0.91","1.44","1.44","1.76","1.61","0.75","0.08","0.17","0.07","0.26","124.3","187.9","260.8","314.5","362.3","408.1","454.2","517.9","638.8","","","",""
"Long Lake Heavy","PSH","2017-01-06","PSH-095","Hardisty","931.1","20.3","2.94","6.9","","2.1","","44.8","120","0.04","1.39","2.47","2.29","2.11","2.5","2.05","1.04","0.09","0.22","0.09","0.31","0.02","0.87","1.67","1.63","1.56","1.9","1.59","0.82","0.09","0.21","0.08","0.29","","","","","","","","","","","","",""
"Long Lake Heavy","PSH","2012-11-15","PSH-609","Hardisty","934.2","19.8","3.34","8.77","18.2","2.4","5","56","150","0","0.4","1.38","2.27","2.81","3.68","3.07","1.49","0.08","0.23","0.1","0.37","0","0.25","0.93","1.61","2.07","2.78","2.37","1.17","0.08","0.21","0.09","0.34","","","","","","","","","","","","",""
"Long Lake Heavy","PSH","2012-09-24","PSH-606","Hardisty","937.2","19.4","3.22","8.35","","2.31","","54","145","0","0.45","1.03","2.18","3.01","4.3","3.57","1.78","0.11","0.32","0.16","0.52","0","0.28","0.69","1.54","2.21","3.24","2.75","1.39","0.1","0.3","0.15","0.48","","","","","","","","","","","","",""
"Long Lake Heavy","PSH","2012-07-21","PSH-684","Hardisty","931.9","20.2","3.42","8.56","","2.55","","56","155","0","0.4","1.39","2.5","3.28","4.35","3.49","1.54","0.08","0.29","0.13","0.45","0","0.25","0.94","1.78","2.42","3.3","2.7","1.21","0.08","0.27","0.12","0.42","101.3","149.7","233.7","307.9","373.3","436.1","505.9","602","701","","","",""
"Long Lake Heavy","PSH","2012-03-01","PSH-604","Hardisty","927.6","20.9","2.96","7.65","","2.2","","53","131","0.02","0.96","1.66","2.67","2.94","3.69","2.97","1.54","0.13","0.36","0.14","0.51","0.01","0.6","1.12","1.91","2.18","2.81","2.31","1.22","0.12","0.34","0.13","0.48","","","","","","","","","","","","",""
"Long Lake Heavy","PSH","2012-01-25","PSH-632","Hardisty","929.6","20.6","3.12","7.51","","2.21","","49","141","0.02","0.86","2.09","2.96","2.98","3.47","2.8","1.15","0.12","0.31","0.12","0.42","0.01","0.54","1.41","2.11","2.2","2.64","2.17","0.91","0.11","0.29","0.11","0.39","87.6","146.8","242.6","307.7","360","410.5","463.7","544.4","658.6","","","",""
"Long Lake Heavy","PSH","2011-11-19","PSH-618","Hardisty","935.3","19.7","3.17","7.6","","1.64","","53","149","0.04","0.84","2.68","2.81","2.33","2.42","2","0.96","0.1","0.24","0.08","0.32","0.02","0.53","1.8","1.99","1.71","1.83","1.54","0.75","0.09","0.22","0.07","0.3","","","","","","","","","","","","",""
