"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"PetroChina Blend","PXB","2021-05-04","PXB-352","Edmonton","929","20.7","2.26","6.3","88.2","1.58","1.7","41","104","0.09","1.29","1.43","1.93","1.61","1.88","1.8","1.06","0.06","0.14","0.06","0.21","0.04","0.81","0.97","1.38","1.19","1.43","1.4","0.84","0.06","0.13","0.06","0.2","135.3","188.8","259.8","308.7","350.7","392.3","433.1","488.7","584.7","","","",""
"PetroChina Blend","PXB","2021-04-03","PXB-345","Edmonton","926.5","21.1","2.23","6.2","","1.54","","39.8","101","0.02","0.78","1.06","1.52","1.51","2.11","2.49","1.69","0.03","0.12","0.07","0.26","0.01","0.49","0.72","1.09","1.12","1.61","1.94","1.34","0.03","0.11","0.07","0.24","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2021-03-04","PXB-336","Edmonton","924.9","21.4","2.3","5.9","","1.49","","35.9","95.6","0.05","0.78","1.16","1.71","1.68","2.21","2.36","1.56","0.04","0.14","0.07","0.26","0.02","0.49","0.79","1.23","1.25","1.69","1.84","1.24","0.04","0.13","0.07","0.24","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2021-02-04","PXB-327","Edmonton","929.8","20.6","2.52","6.7","38.5","1.62","1.5","41.4","106","0.07","1.02","1.64","2.02","1.87","2.26","1.91","1.06","0.06","0.17","0.07","0.28","0.03","0.64","1.11","1.44","1.38","1.72","1.48","0.84","0.06","0.16","0.07","0.26","131.2","202.8","270.5","319","362.3","407.5","456.8","535.2","671.9","","","",""
"PetroChina Blend","PXB","2021-01-05","PXB-316","Edmonton","925.9","21.2","2.35","6.3","","1.7","","37.2","97.8","0.07","1.04","1.24","1.81","1.78","2.31","2.27","1.52","0.05","0.16","0.09","0.29","0.03","0.66","0.84","1.3","1.32","1.76","1.77","1.2","0.05","0.15","0.08","0.27","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-12-03","PXB-307","Edmonton","921.3","22","2.28","6","","1.56","","36","94","0.07","0.95","1.2","1.71","1.72","2.36","2.71","2.31","0.05","0.16","0.08","0.3","0.03","0.6","0.82","1.23","1.28","1.81","2.12","1.84","0.05","0.15","0.08","0.28","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-11-02","PXB-201","Edmonton","934.3","19.8","2.71","7.1","137","1.84","2.3","41.9","108","0.05","0.91","1.2","1.76","1.77","2.31","2.18","1.35","0.05","0.16","0.09","0.29","0.02","0.57","0.81","1.25","1.3","1.75","1.68","1.06","0.05","0.15","0.08","0.27","136.5","193","264.3","315.1","362","410","461.1","538.9","670.1","","","",""
"PetroChina Blend","PXB","2020-10-25","PXB-198","Edmonton","932.6","20.1","2.61","6.7","","1.79","","44.3","108","0.05","0.79","0.99","1.42","1.49","1.99","2.12","1.36","0.03","0.13","0.07","0.25","0.02","0.5","0.67","1.01","1.1","1.51","1.64","1.07","0.03","0.12","0.07","0.23","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-09-03","PXB-187","Edmonton","935.5","19.6","2.64","7","","1.88","","50.8","142","0.05","0.8","1.01","1.42","1.47","1.99","2.13","1.38","0.03","0.13","0.08","0.25","0.02","0.5","0.68","1.01","1.08","1.5","1.64","1.08","0.03","0.12","0.07","0.23","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-08-06","PXB-180","Edmonton","932.6","20.1","2.51","6.9","76.2","1.85","1.6","41.1","109","0.07","0.86","1.11","1.66","1.66","2.2","2.31","1.3","0.04","0.15","0.07","0.27","0.03","0.54","0.75","1.18","1.22","1.67","1.79","1.02","0.04","0.14","0.07","0.25","133.1","192.6","266.7","318.6","366","413.8","463.5","540.8","680.1","","","",""
"PetroChina Blend","PXB","2020-07-20","PXB-175","Edmonton","931","20.4","2.44","6","","1.75","","40.9","106","0.05","0.87","1.06","1.57","1.6","2.11","1.99","1.14","0.04","0.15","0.07","0.27","0.02","0.55","0.72","1.12","1.18","1.6","1.54","0.9","0.04","0.14","0.07","0.25","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-06-11","PXB-167","Edmonton","928.6","20.8","2.49","6.3","","1.68","","39.7","103","0.07","0.99","1.15","1.71","1.68","2.2","2.29","1.47","0.05","0.17","0.09","0.31","0.03","0.62","0.78","1.22","1.24","1.67","1.78","1.16","0.05","0.16","0.08","0.29","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-04-05","PXB-148","Edmonton","925.5","21.3","2.33","5.9","","1.63","","38.3","99.6","0.05","0.79","1.15","1.74","1.76","2.31","2.41","1.55","0.05","0.17","0.09","0.3","0.02","0.5","0.78","1.25","1.31","1.76","1.88","1.23","0.05","0.16","0.08","0.28","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-03-05","PXB-141","Edmonton","926.7","21.1","2.44","6.2","","1.68","","41","109","0.08","1.01","1.18","1.72","1.59","2.13","2.53","1.52","0.04","0.07","0.05","0.16","0.04","0.64","0.8","1.23","1.18","1.62","1.97","1.2","0.04","0.07","0.05","0.15","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2020-02-09","PXB-134","Edmonton","924","21.5","2.25","5.8","47.5","1.5","2","37.3","96.7","0.07","0.77","0.95","1.34","1.25","1.5","1.9","1.08","0.03","0.08","0.04","0.14","0.03","0.49","0.65","0.96","0.93","1.15","1.48","0.86","0.03","0.08","0.04","0.13","142.2","193.5","261.3","310","352.7","395.6","438.9","499.1","619.8","","","",""
"PetroChina Blend","PXB","2020-01-22","PXB-129","Edmonton","928","20.9","2.47","6.4","","1.7","","41.8","109","0.08","0.89","1.18","1.71","1.59","2.1","2.51","1.51","0.04","0.1","0.06","0.14","0.04","0.56","0.8","1.22","1.18","1.6","1.95","1.19","0.04","0.09","0.06","0.13","","","","","","","","","","","","",""
"PetroChina Blend","PXB","2019-12-01","PXB-118","Edmonton","932.3","20.2","2.68","6.7","","1.72","","41.7","113","0.02","0.88","1.15","1.83","1.8","2.27","2.12","1.3","0.06","0.16","0.06","0.26","0.01","0.55","0.78","1.3","1.33","1.72","1.64","1.02","0.06","0.15","0.06","0.24","","","","","","","","","","","","",""
