"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Surmont Mix A","SMA","2021-05-02","SMA-173","Edmonton","928.3","20.8","3.06","8.3","","1.34","","53.7","137","0.09","1.81","5.87","3.72","2.24","1.94","1.52","0.85","0.12","0.19","0.05","0.22","0.05","1.14","3.97","2.66","1.66","1.48","1.18","0.67","0.11","0.18","0.05","0.21","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2021-04-02","SMA-119","Edmonton","925.8","21.2","2.93","7.9","","1.48","","50","130","0.04","1.08","4.75","3.28","2.28","2.19","2.16","1.41","0.08","0.2","0.06","0.3","0.02","0.68","3.22","2.35","1.69","1.67","1.68","1.12","0.08","0.19","0.06","0.28","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2021-03-01","SMA-035","Edmonton","925.6","21.2","3.11","7.8","324.9","1.33","2.7","45.7","129","0.04","1.06","4.48","3.26","2.46","2.41","2.21","1.4","0.09","0.22","0.06","0.31","0.02","0.67","3.04","2.34","1.83","1.84","1.72","1.11","0.09","0.21","0.06","0.29","81.2","155.7","248.5","311.6","365.1","418.7","477.7","569.2","685.5","","","",""
"Surmont Mix A","SMA","2021-02-01","SMA-144","Edmonton","918.7","22.4","2.87","7.7","","1.26","","46.6","125","0.04","1.04","4.2","3.25","2.51","2.56","3.32","2.49","0.1","0.24","0.08","0.35","0.02","0.66","2.87","2.35","1.88","1.97","2.61","1.99","0.1","0.23","0.08","0.33","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2021-01-02","SMA-142","Edmonton","926.6","21.1","3.01","8.1","","1.43","","47.9","127","0.04","1.02","3.8","3.02","2.31","2.18","1.94","1.39","0.09","0.22","0.06","0.3","0.02","0.64","2.58","2.16","1.71","1.66","1.51","1.1","0.09","0.21","0.06","0.28","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2020-12-12","SMA-149","Edmonton","927.8","20.9","3.23","8.1","79.3","1.49","3","48.3","133","0.04","1.08","4.68","3.52","2.5","2.18","1.54","0.81","0.1","0.22","0.05","0.28","0.02","0.68","3.17","2.52","1.85","1.66","1.2","0.64","0.1","0.21","0.05","0.26","69.8","148.4","260.4","323.2","377.9","432.1","495.5","591.2","705.1","","","",""
"Surmont Mix A","SMA","2020-11-03","SMA-037","Edmonton","933.2","20","3.35","8.6","","1.46","","51.9","133","0.04","0.95","4.03","3.19","2.39","2.23","1.9","1.23","0.1","0.24","0.06","0.31","0.02","0.59","2.71","2.27","1.76","1.69","1.47","0.97","0.09","0.22","0.06","0.29","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2020-10-02","SMA-306","Edmonton","935.4","19.6","3.49","8.8","","1.52","","55.4","145","0.04","0.95","4.51","3.38","2.41","2.21","1.88","1.17","0.11","0.24","0.06","0.29","0.02","0.59","3.03","2.4","1.77","1.67","1.45","0.92","0.1","0.22","0.06","0.27","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2020-07-02","SMA-284","Edmonton","934.8","19.7","3.36","8.8","","1.41","","57","146","0.04","0.87","4.04","3.07","2.23","2.14","1.88","1.16","0.1","0.23","0.06","0.31","0.02","0.54","2.71","2.18","1.64","1.62","1.45","0.91","0.09","0.21","0.06","0.29","","","","","","","","","","","","",""
"Surmont Mix A","SMA","2020-06-09","SMA-630","Edmonton","932.6","20.1","3.27","8.6","143.3","1.4","2.8","52.4","136","0.04","0.99","4.47","3.39","2.47","2.26","1.56","0.85","0.11","0.25","0.06","0.31","0.02","0.62","3.01","2.41","1.82","1.71","1.21","0.67","0.1","0.23","0.06","0.29","68.7","141","259.9","325.1","380.4","434.6","497.1","589.3","705.5","","","",""
