"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Western Canada Dilbit","WDB","2021-04-06","WDB-677","Superior","913.4","23.3","3.6","9.9","","1.37","","61.1","151","0.12","1.94","9.14","5.88","3.85","2.77","1.52","0.75","0.19","0.36","0.06","0.37","0.06","1.24","6.29","4.27","2.9","2.14","1.2","0.6","0.18","0.34","0.06","0.35","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2021-03-15","WDB-983","Superior","916.6","22.7","3.75","10.1","126.8","1.46","4","60.5","147","0.05","1.46","9.18","5.86","3.85","2.63","1.36","0.61","0.19","0.37","0.04","0.35","0.03","0.93","6.29","4.24","2.89","2.03","1.07","0.49","0.18","0.35","0.04","0.33","38.8","99.3","194.8","314.4","388.3","458.3","536","622.6","714.6","","","",""
"Western Canada Dilbit","WDB","2021-02-06","WDB-901","Superior","921.9","21.9","3.76","9.2","","2.02","","51.3","135","0.04","1.4","7.88","5.52","3.74","2.73","1.33","0.63","0.17","0.34","0.05","0.37","0.02","0.89","5.37","3.97","2.79","2.09","1.04","0.5","0.16","0.32","0.05","0.35","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2021-01-12","WDB-779","Superior","917.8","22.5","3.81","10.2","","1.52","","64.1","160","0.1","1.73","9.26","6.17","4.05","2.81","1.4","0.65","0.2","0.4","0.05","0.41","0.05","1.1","6.33","4.46","3.03","2.16","1.1","0.52","0.19","0.38","0.05","0.39","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2020-12-08","WDB-845","Superior","921.5","21.9","3.64","10.3","221.3","1.65","6.4","64.1","159","0.05","1.23","8.92","5.92","3.79","2.53","1.23","0.57","0.2","0.39","0.04","0.37","0.03","0.78","6.08","4.26","2.83","1.94","0.96","0.45","0.19","0.37","0.04","0.35","39.1","68.9","200","317.2","391","456.4","529.7","613.8","705.1","","","",""
"Western Canada Dilbit","WDB","2020-11-08","WDB-832","Superior","923.9","21.5","3.84","10.5","","1.6","","64.4","162","0.05","1.3","8.8","5.78","3.62","2.35","1.17","0.6","0.19","0.36","0.04","0.33","0.03","0.82","5.98","4.15","2.69","1.8","0.91","0.48","0.18","0.34","0.04","0.31","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2020-10-10","WDB-815","Superior","920.9","22","3.69","10.2","","1.44","","58.8","145","0.16","1.75","8.37","5.65","3.75","2.63","1.51","0.72","0.19","0.41","0.07","0.35","0.08","1.11","5.71","4.07","2.8","2.02","1.18","0.57","0.18","0.39","0.07","0.33","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2020-09-11","WDB-760","Superior","929.8","20.6","3.93","10.6","121.5","1.94","4.4","59.2","164","0.06","1.16","7.87","5.35","3.42","2.47","1.28","0.65","0.16","0.33","0.05","0.35","0.03","0.73","5.31","3.82","2.53","1.88","0.99","0.51","0.15","0.31","0.05","0.33","39.1","92.6","270.3","356","420.9","484.6","555.8","632.9","708.8","","","",""
"Western Canada Dilbit","WDB","2020-08-11","WDB-710","Superior","928.5","20.8","3.64","9.8","","1.74","","61.9","144","0.07","1.47","7.32","5.14","3.44","2.56","1.4","0.66","0.16","0.34","0.05","0.39","0.04","0.92","4.95","3.67","2.55","1.95","1.09","0.52","0.15","0.32","0.05","0.36","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2020-07-16","WDB-645","Superior","926.8","21","3.76","10","","1.53","","59.8","158","0.07","1.25","7.25","5.02","3.26","2.35","1.27","0.64","0.17","0.34","0.04","0.37","0.04","0.79","4.91","3.59","2.42","1.79","0.99","0.51","0.16","0.32","0.04","0.35","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2020-06-09","WDB-985","Superior","921.6","21.9","3.78","10.4","67.7","1.51","3.1","64.9","158","0.05","1.56","8.14","5.63","3.71","2.77","1.33","0.67","0.18","0.39","0.05","0.43","0.03","0.99","5.55","4.05","2.77","2.12","1.04","0.53","0.17","0.37","0.05","0.4","38.8","75.4","222.9","323","395.7","461.5","537.1","623.3","706.8","","","",""
"Western Canada Dilbit","WDB","2020-05-18","WDB-662","Superior","921","22","3.78","10.3","","1.62","","59.2","149","0.05","1.5","8.33","5.72","3.89","3.06","1.66","0.84","0.18","0.39","0.06","0.47","0.03","0.95","5.68","4.12","2.9","2.35","1.3","0.67","0.17","0.37","0.06","0.44","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2020-03-16","WDB-957","Superior","910.5","23.8","3.58","9.3","117.5","1.34","4.6","56.5","145","0.14","1.61","7.56","4.86","3.13","2.51","1.73","0.73","0.07","0.07","0.03","0.06","0.07","1.03","5.22","3.54","2.36","1.95","1.37","0.59","0.07","0.07","0.03","0.06","40.9","85.5","212.4","316.7","392.4","460.9","538.2","628.3","716.8","","","",""
"Western Canada Dilbit","WDB","2020-02-02","WDB-868","Superior","922.6","21.7","3.73","10.3","","1.48","","58.6","154","0.04","1.34","7.72","5.44","3.53","2.74","1.88","0.77","0.07","0.07","0.02","0.07","0.02","0.85","5.26","3.91","2.63","2.1","1.47","0.61","0.07","0.07","0.02","0.07","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2020-01-09","WDB-809","Superior","919","22.3","3.85","10.3","","1.68","","66.1","162","0.05","1.21","9.6","6","3.53","2.21","1.3","0.56","0.15","0.23","0.01","0.19","0.03","0.77","6.56","4.33","2.64","1.7","1.02","0.45","0.14","0.22","0.01","0.18","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-12-14","WDB-777","Superior","920.6","22.1","3.74","10.4","133.9","1.85","3.7","61.4","155","0.05","1.37","7.12","4.7","2.87","1.93","1.15","0.49","0.12","0.21","0.02","0.2","0.03","0.87","4.86","3.39","2.14","1.48","0.9","0.39","0.12","0.2","0.02","0.19","38.1","77.6","251","345.8","411.4","477.9","552.6","631.3","715.1","","","",""
"Western Canada Dilbit","WDB","2019-11-10","WDB-987","Superior","924.7","21.4","3.97","10.3","","1.86","","60","158","0.05","1.26","8.32","5.55","3.39","2.17","1.13","0.59","0.2","0.34","0.04","0.33","0.03","0.8","5.65","3.98","2.52","1.66","0.88","0.47","0.19","0.32","0.04","0.31","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-10-06","WDB-728","Superior","931.2","20.3","3.95","10","","1.92","","53.1","152","0.04","0.97","6.66","4.88","3.13","2.29","1.16","0.55","0.16","0.3","0.05","0.33","0.02","0.61","4.49","3.48","2.31","1.74","0.9","0.43","0.15","0.28","0.05","0.31","","","","","","","","","","","","",""
"Western Canada Dilbit","WDB","2019-09-03","WDB-603","Superior","933.7","19.9","4.11","9.9","147.8","1.74","10.1","68.5","155","0.06","1.23","6.75","4.69","3.15","2.41","1.51","0.78","0.15","0.27","0.04","0.28","0.03","0.77","4.54","3.33","2.32","1.82","1.17","0.61","0.14","0.25","0.04","0.26","49.5","113.7","265.3","345.1","412.7","475.1","546.7","627.1","714.4","","","",""
"Western Canada Dilbit","WDB","2019-08-15","WDB-749","Superior","929.1","20.7","3.97","10.6","","1.91","","60","162","0.06","1.05","7.6","5.11","3.37","2.47","1.38","0.66","0.16","0.33","0.05","0.33","0.03","0.66","5.14","3.65","2.49","1.88","1.07","0.52","0.15","0.31","0.05","0.31","","","","","","","","","","","","",""
